Código;Descrição;Tipo;Natureza;Sinal;Sintética / Analítica;Materiais;Pagamentos;Recebimentos;Conta Ativa?
1.0.0.00.0000;ATIVO;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.0.00.0000;CIRCULANTE;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.1.00.0000;DISPONIVEL;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.1.01.0000;EM ESPECIE;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.1.02.0000;BANCOS CONTA CORRENTE;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.1.04.0000;BANCOS CONTA APLICACAO;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.1.05.0000;IMPOSTOS RECUPERADOS;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.1.05.0001;ICMS Recuperado;Patrimonial;Ativo;Débito;Analítica;Não;Não;Não;S
1.1.2.00.0000;TITULOS A RECEBER;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.2.01.0000;CLIENTES;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.3.00.0000;ESTOQUES;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.3.01.0000;ALMOXARIFADOS;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.3.02.0000;COMBUSTIVEL;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.4.01.0000;ADIANTAMENTOS;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.4.03.0000;ADIANTAMENTO/DESCONTOS - NPRS;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.4.05.0000;IMPOSTOS A RECUPERAR;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.4.05.0001;IPI A Recuperar;Patrimonial;Ativo;Débito;Analítica;Não;Não;Não;S
1.1.4.05.0002;ICMS a Recuperar;Patrimonial;Ativo;Débito;Analítica;Não;Não;Não;S
1.1.4.05.0003;IRRF a Recuperar;Patrimonial;Ativo;Débito;Analítica;Não;Não;Não;S
1.1.4.05.0004;CSLL a Recuperar;Patrimonial;Ativo;Débito;Analítica;Não;Não;Não;S
1.1.4.05.0005;IRPJ a Recuperar;Patrimonial;Ativo;Débito;Analítica;Não;Não;Não;S
1.1.4.05.0006;INSS Retido na Fonte;Patrimonial;Ativo;Débito;Analítica;Não;Não;Não;S
1.1.4.06.0000;DESPESAS A APROPRIAR;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.4.06.0001;Seguros a Apropriar;Patrimonial;Ativo;Débito;Analítica;Não;Não;Não;S
1.1.4.07.0000;ARRENDATARIOS/USINA A RECEBER;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
1.1.4.08.0000;OUTROS CREDITOS;Patrimonial;Ativo;Débito;Sintética;Não;Não;Não;S
